index,code,country_code,total_pop,destination,destination_code,origin,origin_code,total_mig,life,gni,major1,major1_perc,major2,major2_perc,remit
213,214,DOM,11427557,World,900,Dominican Republic,214,1917153,73.72,22023.51059,Christians,0.776566757493188,,,11247000000
22058,214,DOM,11427557,Dominican Republic,214,World,900,738667,73.72,22023.51059,Christians,0.776566757493188,,,11247000000
145,784,ARE,10986400,World,900,United Arab Emirates,784,166074,82.909,71142.30475,Muslims,0.729100529100529,,,
13742,784,ARE,10986400,United Arab Emirates,784,World,900,8157000,82.909,71142.30475,Muslims,0.729100529100529,,,
210,192,CUB,10979783,World,900,Cuba,192,1879613,78.085,8415.411708,Christians,0.606440071556351,Unaffiliated,0.215563506261181,
21834,192,CUB,10979783,Cuba,192,World,900,2144,78.085,8415.411708,Christians,0.606440071556351,Unaffiliated,0.215563506261181,
151,203,CZE,10905028,World,900,Czechia,203,583214,79.834,45889.01401,Unaffiliated,0.727962085308057,,,4247984188
14736,203,CZE,10905028,Czechia,203,World,900,1025199,79.834,45889.01401,Unaffiliated,0.727962085308057,,,4247984188
233,340,HND,10825703,World,900,Honduras,340,1397584,72.884,6064.785783,Christians,0.884387351778656,,,9532724045
23559,340,HND,10825703,Honduras,340,World,900,39901,72.884,6064.785783,Christians,0.884387351778656,,,9532724045
185,620,PRT,10694681,World,900,Portugal,620,1799179,82.36,41063.92568,Christians,0.85053037608486,,,
19086,620,PRT,10694681,Portugal,620,World,900,1127184,82.36,41063.92568,Christians,0.85053037608486,,,
94,762,TJK,10590927,World,900,Tajikistan,762,514478,71.79,5746.568969,Muslims,0.988717948717949,,,
10556,762,TJK,10590927,Tajikistan,762,World,900,276777,71.79,5746.568969,Muslims,0.988717948717949,,,
265,598,PNG,10576502,World,900,Papua New Guinea,598,35050,66.134,3970.647707,Christians,0.990835030549898,,,
27194,598,PNG,10576502,Papua New Guinea,598,World,900,31171,66.134,3970.647707,Christians,0.990835030549898,,,
171,752,SWE,10569709,World,900,Sweden,752,223508,83.262,66102.08595,Christians,0.607729468599034,Unaffiliated,0.288888888888889,4469058341
17718,752,SWE,10569709,Sweden,752,World,900,2272158,83.262,66102.08595,Christians,0.607729468599034,Unaffiliated,0.288888888888889,4469058341
179,300,GRC,10405134,World,900,Greece,300,780112,81.857,35760.74915,Christians,0.894392523364486,,,561447512
18401,300,GRC,10405134,Greece,300,World,900,1423964,81.857,35760.74915,Christians,0.894392523364486,,,561447512
130,31,AZE,10202830,World,900,Azerbaijan,31,810116,74.429,20667.95729,Muslims,0.946954813359529,,,1351678000
12763,31,AZE,10202830,Azerbaijan,31,World,900,218460,74.429,20667.95729,Muslims,0.946954813359529,,,1351678000
135,376,ISR,9974400,World,900,Israel,376,324804,82.408,48050.11176,Jews,0.770454545454546,,,
13207,376,ISR,9974400,Israel,376,World,900,2091569,82.408,48050.11176,Jews,0.770454545454546,,,
152,348,HUN,9562065,World,900,Hungary,348,538794,77.024,37236.07462,Christians,0.724102564102564,,,5482220904
14818,348,HUN,9562065,Hungary,348,World,900,689565,77.024,37236.07462,Christians,0.724102564102564,,,5482220904
89,768,TGO,9515236,World,900,Togo,768,584790,62.739,2855.963828,Christians,0.568627450980392,Other_religions,0.189158016147636,600000000
10085,768,TGO,9515236,Togo,768,World,900,281994,62.739,2855.963828,Christians,0.568627450980392,Other_religions,0.189158016147636,600000000
191,40,AUT,9177982,World,900,Austria,40,430560,81.956,63479.20843,Christians,0.681614349775785,Unaffiliated,0.224215246636771,3482501340
19919,40,AUT,9177982,Austria,40,World,900,2327064,81.956,63479.20843,Christians,0.681614349775785,Unaffiliated,0.224215246636771,3482501340
149,112,BLR,9132629,World,900,Belarus,112,790232,74.434,26724.871,Christians,0.851336898395722,,,1377333747
14391,112,BLR,9132629,Belarus,112,World,900,1054604,74.434,26724.871,Christians,0.851336898395722,,,1377333747
199,756,CHE,9005582,World,900,Switzerland,756,512547,83.954,81948.90177,Christians,0.615740740740741,Unaffiliated,0.30787037037037,3635806741
20786,756,CHE,9005582,Switzerland,756,World,900,2773840,83.954,81948.90177,Christians,0.615740740740741,Unaffiliated,0.30787037037037,3635806741
88,694,SLE,8642022,World,900,Sierra Leone,694,63631,61.786,1713.727772,Muslims,0.801517067003793,,,
10009,694,SLE,8642022,Sierra Leone,694,World,900,49997,61.786,1713.727772,Muslims,0.801517067003793,,,
120,418,LAO,7769819,World,900,Lao People's Democratic Republic,418,660258,68.964,8106.153218,Buddhists,0.640816326530612,Other_religions,0.341496598639456,246586346
12235,418,LAO,7769819,Lao People's Democratic Republic,418,World,900,51446,68.964,8106.153218,Buddhists,0.640816326530612,Other_religions,0.341496598639456,246586346
99,344,HKG,7524100,World,900,"China, Hong Kong SAR",344,1240250,85.511,69435.75706,Unaffiliated,0.712950600801068,,,462446994
11008,344,HKG,7524100,"China, Hong Kong SAR",344,World,900,3063318,85.511,69435.75706,Unaffiliated,0.712950600801068,,,462446994
95,795,TKM,7494498,World,900,Turkmenistan,795,365787,70.073,17715.58167,Muslims,0.942446043165468,,,
10634,795,TKM,7494498,Turkmenistan,795,World,900,193763,70.073,17715.58167,Muslims,0.942446043165468,,,
61,434,LBY,7381023,World,900,Libya,434,156874,69.339,19831.43236,Muslims,0.988652482269504,,,
8005,434,LBY,7381023,Libya,434,World,900,897751,69.339,19831.43236,Muslims,0.988652482269504,,,
93,417,KGZ,7221868,World,900,Kyrgyzstan,417,540573,71.677,6078.117589,Muslims,0.917417417417418,,,
10505,417,KGZ,7221868,Kyrgyzstan,417,World,900,194816,71.677,6078.117589,Muslims,0.917417417417418,,,
247,600,PRY,6929153,World,900,Paraguay,600,746362,73.844,15252.22016,Christians,0.936363636363636,,,
